TempMin,TempMax,Humidity,RainTomorrow
19,35,23,0
8,8,38,0
13,20,48,0
16,31,90,1
8,9,31,0
18,36,42,1
18,26,57,1
19,31,39,1
12,13,29,0
8,11,34,0
20,26,37,0
20,27,42,1
8,16,88,1
18,33,29,0
8,13,75,1
19,35,73,1
15,26,46,1
8,14,81,1
16,19,60,1
10,19,37,0
11,21,89,1
8,8,43,0
19,21,40,0
18,22,50,1
10,14,60,0
8,14,81,1
10,15,68,1
14,24,62,1
18,18,38,0
19,19,70,1
18,36,30,1
10,14,89,1
18,36,60,1
13,22,27,0
20,23,59,1
12,23,21,0
8,14,44,0
18,32,52,1
8,12,44,0
14,26,75,1
18,22,37,0
11,22,33,0
18,35,25,0
15,27,77,1
13,24,54,1
11,18,37,0
20,34,40,1
9,17,50,0
16,23,81,1
15,25,59,1
17,17,64,1
16,18,31,0
19,21,74,1
9,16,64,1
12,12,62,1
14,26,55,1
10,18,72,1
9,17,22,0
19,28,60,1
13,23,29,0
16,29,50,1
10,18,75,1
9,10,38,0
20,26,73,1
16,25,28,0
18,30,75,1
16,31,72,1
14,22,75,1
8,13,55,0
19,19,49,1
13,18,20,0
17,19,21,0
12,23,79,1
19,30,77,1
14,27,47,1
15,21,63,1
9,10,63,0
16,32,33,0
13,14,63,1
9,15,88,1
17,24,46,1
11,14,75,1
20,26,68,1
16,29,44,1
15,26,48,1
18,29,76,1
15,19,73,1
20,27,46,1
18,34,43,1
17,28,29,0
14,20,31,0
16,21,89,1
17,24,36,0
12,24,50,1
17,29,81,1
9,12,25,0
16,29,58,1
18,20,69,1
12,12,63,1
19,23,54,1
12,23,88,1
12,14,64,1
19,26,77,1
11,17,45,0
12,21,25,0
20,30,71,1
9,11,22,0
15,23,68,1
9,15,70,1
10,17,41,0
17,32,20,0
10,10,32,0
9,17,74,1
13,21,23,0
19,25,41,1
10,18,68,1
17,23,65,1
15,30,53,1
20,26,51,1
11,19,34,0
20,32,34,1
8,11,24,0
8,14,59,0
10,16,33,0
16,19,32,0
10,11,64,1
10,12,72,1
9,10,73,1
20,34,42,1
15,26,76,1
13,13,67,1
20,25,60,1
13,18,85,1
8,12,44,0
17,20,72,1
10,11,52,0
11,12,85,1
14,17,63,1
16,20,61,1
18,35,23,0
11,20,54,1
14,27,88,1
15,15,57,1
